ID_HECHO,N_VICTIMAS,FECHA,DIA_SEMANA,ANIO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DE_CALLE,CALLE,CRUCE,LUGAR_DEL_HECHO,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
2019-0089,1,2019-10-23,MIERCOLES,2019,10,23,15,MEDIODIA_11-15,AVENIDA,"BROWN, ALTE. AV.","BLANES, JUAN MANUEL","BROWN, ALTE. AV. y BLANES, JUAN MANUEL",4,-58.36244648,-34.63107887,PEATON-CARGAS,PEATON,CARGAS
2019-0090,1,2019-10-24,JUEVES,2019,10,24,18,TARDE_16-20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",,"ALBERDI, JUAN BAUTISTA AV. 5455",9,-58.49962423,-34.64868027,PEATON-MOTO,PEATON,MOTO
2019-0091,1,2019-11-01,VIERNES,2019,11,1,20,TARDE_16-20,AVENIDA,"JUSTO, JUAN B. AV.",CAMARGO,"JUSTO, JUAN B. AV. y CAMARGO",15,-58.44551437,-34.59559816,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0092,1,2019-11-03,DOMINGO,2019,11,3,10,MANIANA_6-10,CALLE,"BRIN, MINISTRO",SUAREZ,"BRIN, MINISTRO y SUAREZ",4,-58.35608181,-34.63420319,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0093,1,2019-11-13,MIERCOLES,2019,11,13,11,MEDIODIA_11-15,AVENIDA,NIZA,"JUSTO, JUAN B. AV.","NIZA y JUSTO, JUAN B. AV.",11,-58.46483679,-34.60907662,BICICLETA-OTRO,BICICLETA,OTRO
2019-0094,1,2019-11-18,LUNES,2019,11,18,14,MEDIODIA_11-15,CALLE,CAMARGO,SERRANO,CAMARGO y SERRANO,15,-58.44368628,-34.59724326,MOTO-OTRO,MOTO,OTRO
2019-0095,1,2019-11-20,MIERCOLES,2019,11,20,15,MEDIODIA_11-15,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,MOTO-CARGAS,MOTO,CARGAS
2019-0096,1,2019-11-22,VIERNES,2019,11,22,19,TARDE_16-20,AVENIDA,CASEROS AV.,PIEDRAS,CASEROS AV. y PIEDRAS,1,-58.37560352,-34.62726382,PEATON-PASAJEROS,PEATON,PASAJEROS
2019-0097,1,2019-11-25,LUNES,2019,11,25,8,MANIANA_6-10,AUTOPISTA,AUTOPISTA PERITO MORENO,,AUTOPISTA PERITO MORENO KM. 5.6,9,-58.47721439,-34.64815069,MULTIPLE,MOTO,MULTIPLE
2019-0098,1,2019-11-25,LUNES,2019,11,25,14,MEDIODIA_11-15,AVENIDA,GUZMAN,,GUZMAN 365,15,-58.45134029,-34.58984288,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
2019-0100,1,2019-12-05,JUEVES,2019,12,5,17,TARDE_16-20,AVENIDA,DE LOS CONSTITUYENTES AV.,,DE LOS CONSTITUYENTES AV. 4300,12,-58.49040794,-34.58368803,MOTO-AUTO,MOTO,AUTO
2019-0101,1,2019-12-17,MARTES,2019,12,17,4,MADRUGADA_2-5,AVENIDA,"MORENO, PERITO AV.",TILCARA AV.,"MORENO, PERITO AV. y TILCARA AV.",4,-58.42102679,-34.64991178,MOTO-MOTO,MOTO,MOTO
2019-0102,1,2019-12-17,MARTES,2019,12,17,14,MEDIODIA_11-15,CALLE,IBARROLA,"GORDILLO, TIMOTEO","IBARROLA y GORDILLO, TIMOTEO",9,-58.52219407,-34.64143926,MOTO-AUTO,MOTO,AUTO
2019-0103,1,2019-12-18,MIERCOLES,2019,12,18,12,MEDIODIA_11-15,GRAL PAZ,"PAZ, GRAL. AV.",GRIVEO,"PAZ, GRAL. AV. y GRIVEO",11,-58.52169422,-34.59471640,MOTO-MOTO,MOTO,MOTO
2019-0104,1,2019-12-21,SABADO,2019,12,21,4,MADRUGADA_2-5,AVENIDA,RIVADAVIA AV.,PERGAMINO,RIVADAVIA AV. y PERGAMINO,10,-58.47460416,-34.63206174,MOTO-AUTO,MOTO,AUTO
