,ID_VICTIMA,ID_HECHO,ROL,SEXO,EDAD,RANGO_ETAREO,FECHA,HORA,TIPO_DE_CALLE,CALLE,CRUCE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO
385,2018-0096-386,2018-0096,PEATON,MASCULINO,39,34_49,2018-08-31,22,AUTOPISTA,"HECTOR J. CAMPORA, AU.","ROCA, CNEL. AV.",8,-58.44483258,-34.67152226,PEATON,AUTO
386,2018-0097-387,2018-0097,CONDUCTOR,FEMENINO,35,34_49,2018-09-02,10,AVENIDA,VARELA AV.,"RABANAL, FRANCISCO, INTENDENTE AV.",8,-58.43254025,-34.66128115,AUTO,OTRO
387,2018-0098-388,2018-0098,CONDUCTOR,MASCULINO,55,50_65,2018-09-09,5,GRAL PAZ,"PAZ, GRAL. AV.",BERON DE ASTRADA,8,-58.47199387,-34.69640164,AUTO,AUTO
388,2018-0098-389,2018-0098,PASAJERO_ACOMPAÑANTE,MASCULINO,54,50_65,2018-09-09,5,GRAL PAZ,"PAZ, GRAL. AV.",BERON DE ASTRADA,8,-58.47199387,-34.69640164,AUTO,AUTO
389,2018-0099-390,2018-0099,PEATON,MASCULINO,18,18_33,2018-09-12,14,AVENIDA,RIVADAVIA AV.,PEDERNERA,7,-58.46411215,-34.62925068,PEATON,PASAJEROS
390,2018-0100-391,2018-0100,SD,FEMENINO,33,18_33,2018-09-20,10,AVENIDA,"RAWSON DE DELLEPIANE, ELVIRA AV.",,1,-58.36217754,-34.62367156,MOTO,AUTO
391,2018-0101-392,2018-0101,CONDUCTOR,MASCULINO,SD,SD,2018-09-21,0,GRAL PAZ,"PAZ, GRAL. AV.",ZAPIOLA,12,-58.48098594,-34.54073130,AUTO,MULTIPLE
392,2018-0102-393,2018-0102,CONDUCTOR,MASCULINO,20,18_33,2018-09-21,0,CALLE,FAMATINA,"TABORDA, DIOGENES",4,-58.41083404,-34.64640709,MOTO,AUTO
393,2018-0103-394,2018-0103,PEATON,MASCULINO,1,<18,2018-09-27,17,AVENIDA,"CASTAÑARES, AV.","BONORINO, ESTEBAN, CNEL. AV.",7,-58.44609828,-34.64446729,PEATON,MOTO
394,2018-0104-395,2018-0104,CONDUCTOR,MASCULINO,22,18_33,2018-10-01,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,SUAREZ AV.,4,-58.37709334,-34.64035082,MOTO,MOTO
395,2018-0105-396,2018-0105,PEATON,FEMENINO,56,50_65,2018-10-03,18,AVENIDA,NAZCA AV.,RIVADAVIA AV.,7,-58.46963952,-34.63070603,PEATON,PASAJEROS
396,2018-0106-397,2018-0106,CONDUCTOR,MASCULINO,27,18_33,2018-10-04,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",ECHEVERRIA,13,-58.43674281,-34.55161027,MOTO,MOTO
397,2018-0107-398,2018-0107,PEATON,FEMENINO,62,50_65,2018-10-06,14,AVENIDA,RIVADAVIA AV.,JUJUY AV.,3,-58.40596860,-34.61011987,PEATON,PASAJEROS
398,2018-0108-399,2018-0108,CONDUCTOR,MASCULINO,37,34_49,2018-10-09,14,AVENIDA,DE LOS ITALIANOS AV.,"GUEMES, MACACHA",1,-58.36154069,-34.60463618,MOTO,AUTO
399,2018-0109-400,2018-0109,PEATON,MASCULINO,34,34_49,2018-10-10,22,AVENIDA,TUCUMAN,"ALEM, LEANDRO N. AV.",1,-58.37062179,-34.60066507,PEATON,PASAJEROS
400,2018-0110-401,2018-0110,PEATON,MASCULINO,60,50_65,2018-10-13,3,AVENIDA,CORRIENTES AV.,"GALLARDO, ANGEL AV.",15,-58.43220014,-34.60207186,PEATON,MOTO
401,2018-0111-402,2018-0111,CONDUCTOR,MASCULINO,28,18_33,2018-10-19,12,AUTOPISTA,AUTOPISTA PERITO MORENO,,9,-58.46958442,-34.64949724,MOTO,CARGAS
402,2018-0112-403,2018-0112,CONDUCTOR,FEMENINO,28,18_33,2018-10-24,9,CALLE,MUÑECAS,SERRANO,15,-58.44671397,-34.59970903,MOTO,CARGAS
403,2018-0113-404,2018-0113,CONDUCTOR,MASCULINO,20,18_33,2018-10-25,11,CALLE,"ARTIGAS, JOSE GERVASIO, GRAL.",TRES ARROYOS,11,-58.47152163,-34.61474911,MOTO,CARGAS
404,2018-0114-405,2018-0114,CONDUCTOR,MASCULINO,23,18_33,2018-10-30,2,AVENIDA,SOLIS,INDEPENDENCIA AV.,1,-58.39032921,-34.61807951,MOTO,AUTO
405,2018-0115-406,2018-0115,PEATON,MASCULINO,42,34_49,2018-10-31,12,CALLE,"BOSCH, VENTURA","PAZ, GRAL. AV.",9,-58.52887773,-34.64297861,PEATON,PASAJEROS
406,2018-0116-407,2018-0116,PEATON,MASCULINO,48,34_49,2018-11-01,10,GRAL PAZ,"PAZ, GRAL. AV.",,8,-58.49371157,-34.67981324,PEATON,CARGAS
407,2018-0117-408,2018-0117,CONDUCTOR,MASCULINO,30,18_33,2018-11-04,8,AVENIDA,"PERON, EVA AV.",,9,-58.48266599,-34.66012327,MOTO,MOTO
408,2018-0118-409,2018-0118,PEATON,FEMENINO,80,>65,2018-11-05,14,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",PUEYRREDON AV.,3,-58.40612253,-34.60774301,PEATON,MOTO
409,2018-0119-410,2018-0119,PEATON,FEMENINO,32,18_33,2018-11-05,22,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SAN PEDRITO,8,-58.43613623,-34.66292532,PEATON,SD
410,2018-0120-411,2018-0120,PEATON,FEMENINO,51,50_65,2018-11-09,13,AVENIDA,MONROE,ALVAREZ THOMAS AV.,12,-58.48250732,-34.57208238,PEATON,AUTO
411,2018-0121-412,2018-0121,PEATON,FEMENINO,72,>65,2018-11-09,16,AVENIDA,RIVADAVIA AV.,MANZONI,10,-58.49945705,-34.63743280,PEATON,PASAJEROS
